iter	Logloss
0	0.6227060733
1	0.5699409274
2	0.5340588807
3	0.5075411143
4	0.4883686173
5	0.4738951656
6	0.4569738737
7	0.4454113143
8	0.4324577694
9	0.4232030033
10	0.4163456543
11	0.4087668703
12	0.4030597613
13	0.3974036311
14	0.3924059155
15	0.3873149982
16	0.3802274746
17	0.37593118
18	0.3695489652
19	0.3648539653
20	0.3584060902
21	0.352812215
22	0.3491981524
23	0.3446738868
24	0.3411894054
25	0.3387432757
26	0.3342321035
27	0.3303505204
28	0.3274750412
29	0.3244644561
30	0.3207999202
31	0.3180201904
32	0.3147216594
33	0.311681898
34	0.3100740248
35	0.3079923136
36	0.3053082445
37	0.3030251738
38	0.2991635828
39	0.2968312013
40	0.2943024681
41	0.2919658553
42	0.2892284469
43	0.2866331795
44	0.2853496472
45	0.2833017158
46	0.2795944688
47	0.2779439871
48	0.2759804046
49	0.2739455004
50	0.2727263058
51	0.271139022
52	0.269822764
53	0.2675663465
54	0.2657894706
55	0.2644521735
56	0.2634201514
57	0.2617545323
58	0.2605524947
59	0.2593966358
60	0.2568670571
61	0.2544898698
62	0.2529243587
63	0.2505695111
64	0.249456477
65	0.2470462725
66	0.2450021276
67	0.2436715964
68	0.2423847907
69	0.2412227179
70	0.2401031961
71	0.2380364568
72	0.235781278
73	0.2341306924
74	0.231984066
75	0.2309444953
76	0.22976183
77	0.228023815
78	0.2264388357
79	0.2251926298
80	0.2243924084
81	0.223307548
82	0.2216392093
83	0.2195551925
84	0.2185700627
85	0.2172483984
86	0.2157908531
87	0.2145077522
88	0.2132252774
89	0.2125006883
90	0.2109307575
91	0.2098818454
92	0.2073145849
93	0.2061844451
94	0.2049065563
95	0.2042951855
96	0.2039321044
97	0.2025727959
98	0.2021509781
99	0.2009492294
