iter	Passed	Remaining
0	150	14857
1	153	7500
2	155	5042
3	158	3812
4	161	3073
5	165	2589
6	168	2233
7	170	1965
8	173	1757
9	176	1590
10	179	1448
11	181	1329
12	183	1225
13	184	1135
14	186	1056
15	188	987
16	189	926
17	191	871
18	193	825
19	196	785
20	198	746
21	200	709
22	201	675
23	203	643
24	204	614
25	206	587
26	208	562
27	209	539
28	212	520
29	214	499
30	215	480
31	217	462
32	219	444
33	220	428
34	222	412
35	224	398
36	225	384
37	228	373
38	230	360
39	232	348
40	234	336
41	235	325
42	237	314
43	239	304
44	241	295
45	245	288
46	247	278
47	248	269
48	250	260
49	252	252
50	253	244
51	255	235
52	257	228
53	259	221
54	261	214
55	263	207
56	265	200
57	266	193
58	268	186
59	269	179
60	271	173
61	273	167
62	275	161
63	277	156
64	279	150
65	280	144
66	282	139
67	284	133
68	285	128
69	287	123
70	289	118
71	291	113
72	293	108
73	295	103
74	297	99
75	298	94
76	300	89
77	301	85
78	303	80
79	305	76
80	307	72
81	309	67
82	311	63
83	312	59
84	314	55
85	315	51
86	317	47
87	319	43
88	320	39
89	323	35
90	325	32
91	326	28
92	328	24
93	330	21
94	331	17
95	333	13
96	334	10
97	336	6
98	338	3
99	340	0
