Sampling Technique,Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Avg Precision,Inference Time (s)
Original,Random Forest,0.9481409001956947,0.2,0.02,0.03636363636363636,0.816059670781893,0.18702082994963645,0.6742191314697266
Original,XGBoost,0.9500978473581213,0.4,0.04,0.07272727272727272,0.8255349794238683,0.209823964579957,0.17873024940490723
Original,LightGBM,0.9442270058708415,0.23076923076923078,0.06,0.09523809523809523,0.8268312757201647,0.20777837918830777,1.8755803108215332
Original,CatBoost,0.949119373776908,0.0,0.0,0.0,0.833559670781893,0.2315262252215119,0.5869848728179932
Original,Gradient Boosting,0.9500978473581213,0.4,0.04,0.07272727272727272,0.832119341563786,0.202716956014069,1.081836462020874
Original,AdaBoost,0.9510763209393346,0.0,0.0,0.0,0.827088477366255,0.1695750876399569,0.8253374099731445
Original,Voting Classifier,0.949119373776908,0.25,0.02,0.037037037037037035,0.8356995884773664,0.21960055155129618,1.4472382068634033
Original,Stacking Classifier,0.9481409001956947,0.2,0.02,0.03636363636363636,0.8328600823045268,0.2055225666758609,5.389854431152344
Random Oversampling,Random Forest,0.9422700587084148,0.09090909090909091,0.02,0.03278688524590164,0.8003600823045267,0.16323182296556596,0.6661126613616943
Random Oversampling,XGBoost,0.910958904109589,0.24050632911392406,0.38,0.29457364341085274,0.8083950617283951,0.20176905248160817,0.1945483684539795
Random Oversampling,LightGBM,0.9178082191780822,0.20689655172413793,0.24,0.2222222222222222,0.8152880658436213,0.18637692957660582,0.19930458068847656
Random Oversampling,CatBoost,0.8180039138943248,0.17307692307692307,0.72,0.27906976744186046,0.8370987654320988,0.22347465551713475,0.5364096164703369
Random Oversampling,Gradient Boosting,0.7964774951076321,0.15948275862068967,0.74,0.2624113475177305,0.8182407407407408,0.18380516249155873,1.5771660804748535
Random Oversampling,AdaBoost,0.5851272015655578,0.09170305676855896,0.84,0.16535433070866143,0.8383539094650205,0.2027212193347301,1.045332908630371
Random Oversampling,Voting Classifier,0.9246575342465754,0.2631578947368421,0.3,0.2803738317757009,0.8255555555555555,0.20511494992070478,1.637653112411499
Random Oversampling,Stacking Classifier,0.949119373776908,0.0,0.0,0.0,0.8165843621399177,0.18474435062109779,5.877709150314331
SMOTE,Random Forest,0.8835616438356164,0.12087912087912088,0.22,0.15602836879432624,0.7870576131687242,0.12394753528353351,0.760077714920044
SMOTE,XGBoost,0.8532289628180039,0.1323529411764706,0.36,0.1935483870967742,0.7850617283950618,0.13187540256075797,0.18550467491149902
SMOTE,LightGBM,0.9168297455968689,0.16981132075471697,0.18,0.17475728155339806,0.7968724279835391,0.14954284460972017,0.202103853225708
SMOTE,CatBoost,0.7984344422700587,0.14545454545454545,0.64,0.23703703703703705,0.8059876543209876,0.16603999962561572,0.505068302154541
SMOTE,Gradient Boosting,0.7808219178082192,0.1282051282051282,0.6,0.2112676056338028,0.7978189300411522,0.15057396510058488,2.0340640544891357
SMOTE,AdaBoost,0.6291585127201565,0.1016949152542373,0.84,0.18142548596112312,0.8225925925925925,0.16962446247679758,1.2684199810028076
SMOTE,Voting Classifier,0.8806262230919765,0.1326530612244898,0.26,0.17567567567567569,0.7997530864197531,0.14316848792995554,1.736372470855713
SMOTE,Stacking Classifier,0.9197651663405088,0.13636363636363635,0.12,0.1276595744680851,0.7949588477366255,0.1364716250405445,6.47356104850769
ADASYN,Random Forest,0.8835616438356164,0.12903225806451613,0.24,0.16783216783216784,0.7770061728395061,0.11921897030821163,0.7699408531188965
ADASYN,XGBoost,0.8610567514677103,0.140625,0.36,0.20224719101123595,0.7856172839506173,0.14084046586324778,0.1876211166381836
ADASYN,LightGBM,0.9080234833659491,0.09259259259259259,0.1,0.09615384615384616,0.803559670781893,0.14552521134116414,0.22391414642333984
ADASYN,CatBoost,0.7935420743639922,0.14537444933920704,0.66,0.23826714801444043,0.8029012345679012,0.15679503015173182,0.5062730312347412
ADASYN,Gradient Boosting,0.7886497064579256,0.1391304347826087,0.64,0.22857142857142856,0.797716049382716,0.18153837219692642,2.0569565296173096
ADASYN,AdaBoost,0.5958904109589042,0.09395973154362416,0.84,0.16901408450704225,0.8302469135802469,0.18009976078884926,1.2527718544006348
ADASYN,Voting Classifier,0.8845401174168297,0.15306122448979592,0.3,0.20270270270270271,0.7976748971193416,0.14012384883994602,1.767421007156372
ADASYN,Stacking Classifier,0.9148727984344422,0.17543859649122806,0.2,0.18691588785046728,0.7786419753086419,0.1333391847686116,6.657530069351196
SMOTE-Tomek,Random Forest,0.8894324853228963,0.12941176470588237,0.22,0.16296296296296298,0.7813991769547326,0.11886413492592206,0.7530722618103027
SMOTE-Tomek,XGBoost,0.8444227005870841,0.1390728476821192,0.42,0.208955223880597,0.7840534979423868,0.12700771173497458,0.2320261001586914
SMOTE-Tomek,LightGBM,0.9207436399217221,0.15555555555555556,0.14,0.14736842105263157,0.8053909465020576,0.15310772898268457,0.21626663208007812
SMOTE-Tomek,CatBoost,0.7974559686888454,0.1415525114155251,0.62,0.23048327137546468,0.7996707818930041,0.1548812056508091,0.5765542984008789
SMOTE-Tomek,Gradient Boosting,0.7857142857142857,0.1277533039647577,0.58,0.20938628158844766,0.8000823045267489,0.1645145819492495,2.0825297832489014
SMOTE-Tomek,AdaBoost,0.6095890410958904,0.09699769053117784,0.84,0.17391304347826086,0.8225925925925925,0.16962446247679758,1.3384358882904053
SMOTE-Tomek,Voting Classifier,0.8796477495107632,0.1523809523809524,0.32,0.2064516129032258,0.7993004115226338,0.13931118564374403,1.5375943183898926
SMOTE-Tomek,Stacking Classifier,0.9217221135029354,0.14285714285714285,0.12,0.13043478260869565,0.7940534979423869,0.13463048043388656,3.840392589569092
Borderline-SMOTE,Random Forest,0.901174168297456,0.1506849315068493,0.22,0.17886178861788618,0.7846604938271604,0.13291797886978812,0.4405710697174072
Borderline-SMOTE,XGBoost,0.8708414872798435,0.13392857142857142,0.3,0.18518518518518517,0.7982510288065844,0.13008886677540937,0.18140006065368652
Borderline-SMOTE,LightGBM,0.9197651663405088,0.11904761904761904,0.1,0.10869565217391304,0.805329218106996,0.147756513173145,0.11611390113830566
Borderline-SMOTE,CatBoost,0.8277886497064579,0.16842105263157894,0.64,0.26666666666666666,0.8081275720164609,0.16175126883173138,0.2782003879547119
